gen,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23
511,0.51,0.562,0.462,0.513,0.112,0.375,0.109,0.307,0.288,0.089,0.447,0.201,0.144,0.319,0.658,0.142,0.23,0.183
512,0.469,0.417,0.25,0.281,0.107,0.325,0.119,0.205,0.22,0.062,0.439,0.213,0.09,0.195,0.602,0.152,0.31,0.257
513,0.38,0.38,0.411,0.28,0.124,0.303,0.099,0.232,0.227,0.163,0.189,0.187,0.147,0.191,0.3,0.102,0.101,0.205
514,0.85,0.648,0.639,0.526,0.177,0.336,0.072,0.074,0.161,0.132,NA,0.451,0.195,NA,0.433,0.249,0.211,0.218
515,0.523,1.271,0.941,0.529,0.13,1.739,0.261,0.433,0.313,0.183,2.09,0.399,0.161,0.515,0.806,0.23,0.077,0.113
518,0.842,0.778,0.601,0.665,0.214,0.587,0.173,0.52,0.393,0.122,0.815,0.511,0.189,0.315,0.825,0.344,0.276,0.14
519,0.685,0.981,0.773,0.574,0.138,0.462,0.178,0.451,0.291,0.121,0.753,0.283,0.177,0.347,0.688,0.188,0.174,0.119
521,0.849,0.817,0.632,0.445,0.124,0.57,0.173,0.362,0.538,0.124,0.654,0.461,0.173,0.258,0.868,0.418,0.184,0.075
522,0.791,0.83,0.522,0.505,0.118,0.427,0.224,0.381,0.433,0.086,0.456,0.364,0.262,0.192,0.902,0.13,0.434,0.224
524,0.737,0.71,0.385,0.349,0.124,0.574,0.147,0.293,0.351,0.075,0.418,0.394,0.107,0.376,0.75,0.183,0.101,0.057
525,0.692,0.701,0.545,0.513,0.106,0.634,0.167,0.429,0.375,0.105,0.666,0.3,0.192,0.37,0.881,0.232,0.232,0.091
527,0.746,0.673,0.931,0.454,0.142,0.535,0.119,0.224,0.305,0.096,1.052,0.501,0.177,0.296,0.803,0.215,0.217,0.221
528,0.468,0.535,0.439,0.347,0.106,0.392,0.109,0.252,0.248,0.087,0.449,0.209,0.14,0.198,0.356,0.158,0.2,0.102
529,0.587,0.525,0.55,0.423,0.106,0.449,0.147,0.213,0.334,0.047,0.492,0.395,0.156,0.316,0.699,0.202,0.168,0.09
530,0.579,0.563,0.506,0.358,0.084,0.432,0.112,0.261,0.265,0.039,0.469,0.364,0.147,0.324,0.723,0.198,0.136,0.099
532,0.845,0.661,0.509,0.376,0.124,0.53,0.16,0.313,0.277,0.079,0.585,0.35,0.158,0.299,0.615,0.228,0.203,0.174
533,0.471,0.542,0.455,0.479,0.063,0.437,0.084,0.198,0.201,0.065,0.745,0.364,0.2,0.296,0.514,0.238,0.26,0.292
535,0.805,0.731,0.496,0.51,0.107,0.508,0.186,0.253,0.266,0.052,0.444,0.349,0.165,0.372,0.689,0.244,0.17,0.225
536,0.591,0.603,0.563,0.385,0.096,0.412,0.084,0.26,0.279,0.048,0.528,0.366,0.257,0.421,0.921,0.297,0.404,0.14
537,0.365,0.648,0.327,0.403,0.117,0.334,0.09,0.275,0.234,0.069,0.923,0.167,0.167,0.238,0.617,0.122,0.047,0.357
540,0.603,0.723,0.432,0.395,0.119,0.488,0.156,0.274,0.368,0.056,0.742,0.425,0.158,0.398,0.82,0.284,0.236,0.163
542,0.483,0.764,0.396,0.305,0.114,0.369,0.069,0.23,0.18,0.088,0.675,0.326,0.1,0.172,0.599,0.096,0.132,0.11
543,0.555,0.693,0.521,0.405,0.115,0.473,0.142,0.301,0.09,0.02,0.605,0.358,0.115,0.309,0.599,0.281,0.237,0.187
544,0.449,0.486,0.646,0.567,0.14,0.475,0.096,0.147,0.111,0.055,0.735,0.393,0.114,0.217,0.544,0.173,0.104,0.111
548,0.965,1.196,0.525,0.809,0.221,0.854,0.205,0.459,0.38,0.142,0.592,0.731,0.249,0.469,1.367,0.297,0.421,0.383
549,0.727,0.693,0.453,0.361,0.088,0.519,0.155,0.19,0.403,0.144,0.771,0.432,0.221,0.36,0.767,0.242,0.171,0.109
550,0.986,0.881,NA,0.411,0.081,0.512,0.111,0.339,0.243,0.161,0.469,0.396,0.209,0.328,0.63,0.164,0.282,0.094
551,0.626,0.805,0.698,0.47,0.083,0.49,0.142,0.262,0.286,0.041,0.696,0.385,0.115,0.27,0.913,0.446,0.191,0.049
552,0.725,0.646,0.631,0.409,0.114,0.534,0.158,0.34,0.421,0.08,0.674,0.47,0.207,0.47,0.493,0.172,0.226,0.017
553,0.598,0.615,0.361,0.287,0.066,0.442,0.144,0.249,0.255,0.063,0.404,0.308,0.141,0.306,0.599,0.144,0.108,0.141
555,0.94,0.986,0.838,0.523,0.105,0.419,0.158,0.273,0.303,0.047,0.864,0.553,0.17,0.313,0.613,0.203,0.054,0.162
556,0.603,0.562,0.717,0.424,0.064,0.634,0.186,0.352,0.321,0.218,0.603,0.343,0.18,0.354,0.822,0.23,0.219,0.143
557,1.169,0.883,0.486,0.771,0.181,0.733,0.264,0.4,0.506,0.145,1.311,0.539,0.312,0.363,1.216,0.175,0.223,0.196
558,0.926,0.995,0.814,0.753,0.104,0.757,0.211,0.381,0.319,0.147,1.082,0.597,0.285,0.598,1.291,0.307,0.237,0.31
559,0.743,0.901,0.94,0.57,0.131,0.645,0.301,0.439,0.435,0.164,0.903,0.674,0.357,0.453,1.023,0.305,0.392,0.157
561,0.771,0.637,0.766,0.541,0.112,0.6,0.186,0.319,0.353,0.134,0.977,0.326,0.255,0.463,1.217,0.253,0.214,0.116
564,0.758,0.545,0.508,0.306,0.078,0.485,0.112,0.19,0.299,0.114,0.686,0.297,0.122,0.307,0.586,0.256,0.205,0.224
565,0.56,0.702,0.548,0.335,0.095,0.438,0.127,0.267,0.235,0.054,0.89,0.271,0.117,0.309,0.78,0.191,0.209,0.175
570,0.639,0.982,0.655,0.63,0.115,0.642,0.199,0.626,0.378,0.111,2.271,1.025,0.446,0.543,1.271,0.77,0.223,0.166
572,0.573,0.883,0.843,0.704,0.141,0.476,0.239,0.366,0.455,0.16,0.688,0.474,0.175,0.362,0.781,0.285,0.266,0.253
575,0.479,0.506,0.393,0.338,0.142,0.257,0.086,0.2,0.24,0.075,0.475,0.239,0.096,0.275,0.499,0.157,0.041,0.089
576,0.66,0.709,0.477,0.411,0.119,0.472,0.159,0.317,0.348,0.143,0.818,0.414,0.226,0.383,0.66,0.29,0.315,0.242
577,0.781,0.676,0.487,0.266,0.094,0.376,0.101,0.224,0.175,0.072,0.373,0.305,0.068,0.314,0.839,0.211,0.158,0.055
581,0.708,0.467,0.259,0.469,0.137,0.405,0.137,0.221,0.261,0.079,0.596,0.48,0.309,0.356,0.767,0.237,0.246,0.274
582,0.561,0.543,0.291,0.353,0.063,0.473,0.069,0.237,0.347,0.094,0.499,0.258,0.182,0.464,0.689,0.165,0.188,0.103
584,0.719,1.699,0.886,1.227,0.234,1.826,0.51,0.696,NA,0.122,2.553,1.68,0.893,1.274,2.818,0.141,0.641,NA
585,0.664,0.62,0.429,0.365,0.096,0.492,0.119,0.222,0.278,0.063,0.484,0.321,0.136,0.264,0.677,0.107,0.099,0.154
586,0.514,0.601,0.669,0.381,0.096,0.421,0.156,0.203,0.376,0.04,0.668,0.319,0.183,0.403,0.838,0.248,0.247,0.184
587,0.638,0.489,0.521,0.399,0.143,0.409,0.172,0.222,0.289,0.101,0.504,0.218,0.107,0.265,0.702,0.182,0.115,0.135
588,0.673,0.608,0.465,0.361,0.109,0.415,0.109,0.369,0.265,0.096,0.456,0.309,0.167,0.329,0.691,0.116,0.136,0.086
593,0.422,0.4,0.223,0.3,0.049,0.246,0.101,0.127,0.164,0.055,0.468,0.158,0.096,0.21,0.511,0.116,0.074,0.097
594,0.381,0.643,0.43,0.351,0.088,0.476,0.144,0.229,0.285,0.05,0.488,0.344,0.171,0.345,0.71,0.14,0.185,0.116
596,0.592,0.536,0.355,0.427,0.038,0.416,0.134,0.257,0.269,0.041,0.605,0.312,0.167,0.36,0.773,0.265,0.182,0.166
598,0.7,0.601,0.634,0.399,0.092,0.47,0.151,0.285,0.301,0.072,0.659,0.402,0.19,0.26,0.615,0.205,0.182,0.082
599,0.818,0.629,0.504,0.358,0.096,0.416,0.133,0.216,0.275,0.068,0.535,0.352,0.151,0.264,0.536,0.18,0.16,0.167
600,0.795,0.933,1.075,0.619,0.166,0.578,0.198,0.317,0.348,0.068,1.138,0.336,0.177,0.322,0.756,0.314,0.244,0.115
601,1.06,0.766,1.015,0.564,0.174,0.573,0.216,0.421,0.417,0.086,1.893,0.821,0.512,0.381,1.176,0.317,0.132,0.108
603,0.782,1.698,0.669,0.717,0.156,0.531,0.166,0.513,0.332,0.114,0.609,0.363,NA,0.51,0.788,0.257,0.209,0.23
605,0.45,0.699,0.449,0.38,0.108,0.493,0.164,0.242,0.328,0.101,0.679,0.372,0.195,0.3,0.697,0.172,0.176,0.163
607,0.729,0.777,0.596,0.497,0.091,0.385,0.138,0.33,0.372,0.08,0.649,0.338,0.128,0.393,0.578,0.198,0.25,0.164
608,0.77,1.105,0.694,0.494,0.135,0.356,0.201,0.348,0.448,0.086,1.683,0.71,0.293,0.55,1.021,0.371,0.53,0.184
609,0.711,0.516,0.588,0.438,0.083,0.435,0.118,0.26,0.297,0.109,0.57,0.516,0.217,0.354,0.891,0.325,0.316,0.094
